listing_id,player_id,seller_club_id,asking_fee_krw,listed_date,status
1,20260048,1,1350000000,2026-01-01,listed
2,20240324,1,1500000000,2026-01-01,listed
3,20200041,1,1050000000,2026-01-01,listed
4,20180034,1,1500000000,2026-01-01,listed
5,20240179,1,975000000,2026-01-01,listed
6,20180073,1,675000000,2026-01-01,listed
7,20250331,1,825000000,2026-01-01,listed
8,20140038,1,600000000,2026-01-01,listed
9,20200301,1,750000000,2026-01-01,listed
10,20260045,1,1350000000,2026-01-01,listed
11,20170052,1,675000000,2026-01-01,listed
12,20160099,1,825000000,2026-01-01,listed
13,20140033,2,900000000,2026-01-01,listed
14,20150109,2,1500000000,2026-01-01,listed
15,20200055,2,900000000,2026-01-01,listed
16,20170095,2,1125000000,2026-01-01,listed
17,20230315,2,1350000000,2026-01-01,listed
18,20260029,2,1800000000,2026-01-01,listed
19,20200099,2,600000000,2026-01-01,listed
20,20130156,2,975000000,2026-01-01,listed
21,20230108,2,1125000000,2026-01-01,listed
22,20150050,2,675000000,2026-01-01,listed
23,20180088,2,2400000000,2026-01-01,listed
24,20180185,3,1125000000,2026-01-01,listed
25,20130142,3,675000000,2026-01-01,listed
26,20220174,3,825000000,2026-01-01,listed
27,20180212,3,750000000,2026-01-01,listed
28,20230224,3,825000000,2026-01-01,listed
29,20170121,3,750000000,2026-01-01,listed
30,20220042,3,675000000,2026-01-01,listed
31,20250061,3,3000000000,2026-01-01,listed
32,20220244,3,975000000,2026-01-01,listed
33,20180025,3,1500000000,2026-01-01,listed
34,20250353,3,600000000,2026-01-01,listed
35,20150052,3,1800000000,2026-01-01,listed
36,20190084,3,750000000,2026-01-01,listed
37,20230043,3,1800000000,2026-01-01,listed
38,20150104,3,675000000,2026-01-01,listed
39,20230270,4,600000000,2026-01-01,listed
40,20230308,4,975000000,2026-01-01,listed
41,20210112,4,600000000,2026-01-01,listed
42,20210104,4,1200000000,2026-01-01,listed
43,20160098,4,1200000000,2026-01-01,listed
44,20170164,4,1125000000,2026-01-01,listed
45,20210116,4,600000000,2026-01-01,listed
46,20200066,4,675000000,2026-01-01,listed
47,20180235,4,1125000000,2026-01-01,listed
48,20200077,4,900000000,2026-01-01,listed
