player_id,club_id,start_date,end_date,salary_krw,status
20250060,1,2026-01-01,2028-01-01,35226000,active
20170185,1,2026-01-01,2028-01-01,35226000,active
20260048,1,2026-01-01,2028-01-01,123291000,active
20220163,1,2026-01-01,2028-01-01,35226000,active
20180233,1,2026-01-01,2028-01-01,35226000,active
20230088,1,2026-01-01,2028-01-01,35226000,active
20240324,1,2026-01-01,2028-01-01,140904000,active
20180008,1,2026-01-01,2028-01-01,35226000,active
20160107,1,2026-01-01,2028-01-01,35226000,active
20200041,1,2026-01-01,2028-01-01,105678000,active
20170229,1,2026-01-01,2028-01-01,35226000,active
20250081,1,2026-01-01,2028-01-01,35226000,active
20180034,1,2026-01-01,2028-01-01,140904000,active
20240179,1,2026-01-01,2028-01-01,88065000,active
20180073,1,2026-01-01,2028-01-01,70452000,active
20230034,1,2026-01-01,2028-01-01,35226000,active
20250331,1,2026-01-01,2028-01-01,70452000,active
20260046,1,2026-01-01,2028-01-01,35226000,active
20140038,1,2026-01-01,2028-01-01,52839000,active
20200301,1,2026-01-01,2028-01-01,70452000,active
20250082,1,2026-01-01,2028-01-01,35226000,active
20220169,1,2026-01-01,2028-01-01,35226000,active
20260047,1,2026-01-01,2028-01-01,35226000,active
20260045,1,2026-01-01,2028-01-01,123291000,active
20220164,1,2026-01-01,2028-01-01,35226000,active
20260049,1,2026-01-01,2028-01-01,35226000,active
20170052,1,2026-01-01,2028-01-01,70452000,active
20160099,1,2026-01-01,2028-01-01,70452000,active
20230093,1,2026-01-01,2028-01-01,35226000,active
20140033,2,2026-01-01,2028-01-01,88065000,active
20220188,2,2026-01-01,2028-01-01,35226000,active
20230140,2,2026-01-01,2028-01-01,35226000,active
20140066,2,2026-01-01,2028-01-01,35226000,active
20170051,2,2026-01-01,2028-01-01,35226000,active
20180105,2,2026-01-01,2028-01-01,35226000,active
20150109,2,2026-01-01,2028-01-01,140904000,active
20200055,2,2026-01-01,2028-01-01,88065000,active
20240107,2,2026-01-01,2028-01-01,35226000,active
20260031,2,2026-01-01,2028-01-01,35226000,active
20170095,2,2026-01-01,2028-01-01,105678000,active
20260244,2,2026-01-01,2028-01-01,35226000,active
20230315,2,2026-01-01,2028-01-01,123291000,active
20260029,2,2026-01-01,2028-01-01,176130000,active
20240051,2,2026-01-01,2028-01-01,35226000,active
20200099,2,2026-01-01,2028-01-01,52839000,active
20250362,2,2026-01-01,2028-01-01,35226000,active
20250023,2,2026-01-01,2028-01-01,35226000,active
20170029,2,2026-01-01,2028-01-01,35226000,active
20130156,2,2026-01-01,2028-01-01,88065000,active
20260028,2,2026-01-01,2028-01-01,35226000,active
20260050,2,2026-01-01,2028-01-01,35226000,active
20240330,2,2026-01-01,2028-01-01,35226000,active
20250044,2,2026-01-01,2028-01-01,35226000,active
20230108,2,2026-01-01,2028-01-01,105678000,active
20150050,2,2026-01-01,2028-01-01,70452000,active
20180088,2,2026-01-01,2028-01-01,228969000,active
20230071,2,2026-01-01,2028-01-01,35226000,active
20180296,2,2026-01-01,2028-01-01,35226000,active
20190171,2,2026-01-01,2028-01-01,35226000,active
20230044,2,2026-01-01,2028-01-01,35226000,active
20260030,2,2026-01-01,2028-01-01,35226000,active
20250194,2,2026-01-01,2028-01-01,35226000,active
20260064,3,2026-01-01,2028-01-01,35226000,active
20250291,3,2026-01-01,2028-01-01,35226000,active
20140143,3,2026-01-01,2028-01-01,35226000,active
20260058,3,2026-01-01,2028-01-01,35226000,active
20250050,3,2026-01-01,2028-01-01,35226000,active
20180185,3,2026-01-01,2028-01-01,105678000,active
20100052,3,2026-01-01,2028-01-01,35226000,active
20230250,3,2026-01-01,2028-01-01,35226000,active
20240239,3,2026-01-01,2028-01-01,35226000,active
20130142,3,2026-01-01,2028-01-01,70452000,active
20240274,3,2026-01-01,2028-01-01,35226000,active
20160157,3,2026-01-01,2028-01-01,35226000,active
20250281,3,2026-01-01,2028-01-01,35226000,active
20250159,3,2026-01-01,2028-01-01,35226000,active
20220077,3,2026-01-01,2028-01-01,35226000,active
20220174,3,2026-01-01,2028-01-01,70452000,active
20230029,3,2026-01-01,2028-01-01,35226000,active
20250154,3,2026-01-01,2028-01-01,35226000,active
20250079,3,2026-01-01,2028-01-01,35226000,active
20250226,3,2026-01-01,2028-01-01,35226000,active
20250077,3,2026-01-01,2028-01-01,35226000,active
20260061,3,2026-01-01,2028-01-01,35226000,active
20180212,3,2026-01-01,2028-01-01,70452000,active
20260293,3,2026-01-01,2028-01-01,35226000,active
20230077,3,2026-01-01,2028-01-01,35226000,active
20230224,3,2026-01-01,2028-01-01,70452000,active
20240241,3,2026-01-01,2028-01-01,35226000,active
20220076,3,2026-01-01,2028-01-01,35226000,active
20250317,3,2026-01-01,2028-01-01,35226000,active
20260057,3,2026-01-01,2028-01-01,35226000,active
20220177,3,2026-01-01,2028-01-01,35226000,active
20170121,3,2026-01-01,2028-01-01,70452000,active
20220042,3,2026-01-01,2028-01-01,70452000,active
20250330,3,2026-01-01,2028-01-01,35226000,active
20250083,3,2026-01-01,2028-01-01,35226000,active
